Mobygames;http://www.mobygames.com;79;N-Gage (service);NGAGE2;ngage2
Mobygames;http://www.mobygames.com;80;NES;NES;nes
Mobygames;http://www.mobygames.com;81;Neo Geo;NEO;neo-geo
Mobygames;http://www.mobygames.com;82;Neo Geo CD;NGCD;neo-geo-cd
Mobygames;http://www.mobygames.com;83;Neo Geo Pocket;NGP;neo-geo-pocket
Mobygames;http://www.mobygames.com;84;Neo Geo Pocket Color;NGPC;neo-geo-pocket-color
Mobygames;http://www.mobygames.com;85;Nintendo 3DS;3DS;3ds
Mobygames;http://www.mobygames.com;86;Nintendo 64;N64;n64
Mobygames;http://www.mobygames.com;87;Nintendo DS;DS;nintendo-ds
Mobygames;http://www.mobygames.com;88;Nintendo DSi;DSI;nintendo-dsi
Mobygames;http://www.mobygames.com;89;Nuon;NUON;nuon
Mobygames;http://www.mobygames.com;90;OS/2;OS2;os2
Mobygames;http://www.mobygames.com;91;Odyssey;ODY;odyssey
Mobygames;http://www.mobygames.com;92;Odyssey 2;O2;odyssey-2
Mobygames;http://www.mobygames.com;93;Oric;ORIC;oric
Mobygames;http://www.mobygames.com;94;Ouya;OUYA;ouya
Mobygames;http://www.mobygames.com;95;PC Booter;PC;pc-booter
Mobygames;http://www.mobygames.com;96;PC-6001;PC6K1;pc-6001
Mobygames;http://www.mobygames.com;97;PC-88;PC88;pc88
Mobygames;http://www.mobygames.com;98;PC-98;PC98;pc98
Mobygames;http://www.mobygames.com;99;PC-FX;PCFX;pc-fx
Mobygames;http://www.mobygames.com;100;PS Vita;VITA;ps-vita
Mobygames;http://www.mobygames.com;101;PSP;PSP;psp
Mobygames;http://www.mobygames.com;102;Palm OS;POS;palmos
Mobygames;http://www.mobygames.com;103;Philips VG 5000;VG500;philips-vg-5000
Mobygames;http://www.mobygames.com;104;Pippin;PIP;pippin
Mobygames;http://www.mobygames.com;105;PlayStation;PS;playstation
Mobygames;http://www.mobygames.com;106;PlayStation 2;PS2;ps2
Mobygames;http://www.mobygames.com;107;PlayStation 3;PS3;ps3
Mobygames;http://www.mobygames.com;108;PlayStation 4;PS4;playstation-4
Mobygames;http://www.mobygames.com;109;Playdia;PLD;playdia
Mobygames;http://www.mobygames.com;110;Pokémon Mini;PMIN;pokemon-mini
Mobygames;http://www.mobygames.com;111;RCA Studio II;S2;rca-studio-ii
Mobygames;http://www.mobygames.com;112;SAM Coupé;SAM;sam-coup
Mobygames;http://www.mobygames.com;113;SEGA 32X;32X;sega-32x
Mobygames;http://www.mobygames.com;114;SEGA CD;SCD;sega-cd
Mobygames;http://www.mobygames.com;115;SEGA Master System;SMS;sega-master-system
Mobygames;http://www.mobygames.com;116;SEGA Pico;PICO;sega-pico
Mobygames;http://www.mobygames.com;117;SEGA Saturn;SAT;sega-saturn
Mobygames;http://www.mobygames.com;118;SG-1000;SG1;sg-1000
Mobygames;http://www.mobygames.com;119;SNES;SNES;snes
Mobygames;http://www.mobygames.com;120;Sharp X1;X1;sharp-x1
Mobygames;http://www.mobygames.com;121;Sharp X68000;X68;sharp-x68000
Mobygames;http://www.mobygames.com;122;Sinclair QL;QL;sinclair-ql
Mobygames;http://www.mobygames.com;123;Sord M5;M5;sord-m5
Mobygames;http://www.mobygames.com;124;Spectravideo;SPEC;spectravideo
Mobygames;http://www.mobygames.com;125;Super A'can;ACAN;super-acan
Mobygames;http://www.mobygames.com;126;SuperGrafx;SGFX;supergrafx
