Simulation > Space > Combat,Simulation,Genre
Simulation > Vehicle > Civilian,Simulation,Genre
Simulation > Vehicle > Combat,Simulation,Genre
Simulation > Vehicle > Train,Simulation,Genre
Simulation > Virtual > Career,Simulation,Genre
Simulation > Virtual > Pet,Simulation,Genre
Simulation > Virtual > Virtual Life,Simulation,Genre
Sports > General,Sports,Genre
Sports > Individual > Athletics,Sports,Genre
Sports > Individual > Biking,Sports,Genre
Sports > Individual > Billiards,Sports,Genre
Sports > Individual > Bowling,Sports,Genre
Sports > Individual > Combat > Boxing / Martial Arts,Sports,Genre
Sports > Individual > Combat > Wrestling,Sports,Genre
Sports > Individual > Golf > Arcade,Sports,Genre
Sports > Individual > Golf > Sim,Sports,Genre
Sports > Individual > Horse Racing,Sports,Genre
Sports > Individual > Nature > Fishing,Sports,Genre
Sports > Individual > Nature > Hunting,Sports,Genre
Sports > Individual > Other,Sports,Genre
Sports > Individual > Skate / Skateboard,Sports,Genre
Sports > Individual > Ski / Snowboard,Sports,Genre
Sports > Individual > Surf / Wakeboard,Sports,Genre
Sports > Individual > Tennis,Sports,Genre
Sports > Team > Baseball > Arcade,Sports,Genre
Sports > Team > Baseball > Sim,Sports,Genre
Sports > Team > Basketball > Arcade,Sports,Genre
Sports > Team > Basketball > Sim,Sports,Genre
Sports > Team > Cricket,Sports,Genre
Sports > Team > Football > Arcade,Sports,Genre
Sports > Team > Football > Sim,Sports,Genre
Sports > Team > Futuristic,Sports,Genre
Sports > Team > Ice Hockey > Arcade,Sports,Genre
Sports > Team > Ice Hockey > Sim,Sports,Genre
Sports > Team > Other,Sports,Genre
Sports > Team > Rugby,Sports,Genre
Sports > Team > Soccer > Arcade,Sports,Genre
Sports > Team > Soccer > Management,Sports,Genre
Sports > Team > Soccer > Sim,Sports,Genre
Sports > Team > Volleyball,Sports,Genre
Strategy > General,Strategy,Genre
Strategy > Management > Business / Tycoon,Strategy,Genre
Strategy > Management > Government,Strategy,Genre
Strategy > Real-Time > Command,Strategy,Genre
Strategy > Real-Time > Defense,Strategy,Genre
Strategy > Real-Time > General,Strategy,Genre
Strategy > Real-Time > MOBA,Strategy,Genre
Strategy > Real-Time > Tactics,Strategy,Genre
Strategy > Turn-Based > 4X,Strategy,Genre
Strategy > Turn-Based > Artillery,Strategy,Genre
Strategy > Turn-Based > Card Battle,Strategy,Genre
Strategy > Turn-Based > General,Strategy,Genre
Strategy > Turn-Based > Tactics,Strategy,Genre
Acclaim,Acclaim,Developer
Acclaim Japan,Acclaim,Developer
Acclaim Studios Austin,Acclaim,Developer
Acclaim Studios Cheltenham,Acclaim,Developer
Acclaim Studios London,Acclaim,Developer
Acclaim Studios Manchester,Acclaim,Developer
Acclaim Studios Salt Lake City,Acclaim,Developer
Acclaim Studios Teeside,Acclaim,Developer
Bandai,Bandai,Developer
Bandai Namco Games,Bandai,Developer
Bandai Visual,Bandai,Developer
EA Canada,Electronic Arts,Developer
EA Chicago,Electronic Arts,Developer
EA Games,Electronic Arts,Developer
EA Japan Studio,Electronic Arts,Developer
EA LA,Electronic Arts,Developer
EA Mobile,Electronic Arts,Developer
EA Montreal,Electronic Arts,Developer
EA Redwood Shores,Electronic Arts,Developer
EA Salt Lake,Electronic Arts,Developer
EA Seattle,Electronic Arts,Developer
EA Sports,EA Sports,Developer
EA Sports Big,EA Sports,Developer
EA Tiburon,Electronic Arts,Developer
Konami,Konami,Developer
Konami Computer Entertainment Chicago,Konami,Developer
Konami Computer Entertainment Hawaii,Konami,Developer
Konami Computer Entertainment Nagoya,Konami,Developer
Konami Computer Entertainment Osaka,Konami,Developer
Konami Computer Entertainment Shinjuku,Konami,Developer
Konami Computer Games Aoyama,Konami,Developer
Konami Software Shanghai,Konami,Developer
Nihon Bussan,Nihon Bussan,Developer
Nihon Bussan and Kawakusu,Nihon Bussan,Developer
Nihon Bussan/AV Japan,Nihon Bussan,Developer
Nihon Bussan/Yubis,Nihon Bussan,Developer
Nihon System,Nihon System,Developer
Nihon System / Moss,Nihon System,Developer
Nihon Systems,Nihon System,Developer
Nintendo,Nintendo,Developer
Nintendo EAD Tokyo ,Nintendo,Developer
Nintendo R&D1;,Nintendo,Developer
Nintendo Software Technology,Nintendo,Developer
Microsoft,Microsoft,Developer
Microsoft Game Studios,Microsoft,Developer
Midway,Midway,Developer
Midway Studios - Newcastle,Midway,Developer
Midway Studios - San Diego,Midway,Developer
Paramount Digital Entertainment,Paramount,Developer
Paramount Interactive,Paramount,Developer
Paramount Pictures Corp.,Paramount,Developer
Paramount Software,Paramount,Developer
Sega,Sega,Developer
Sega AM2,Sega,Developer
Sega AM3,Sega,Developer
Sega Europe,Sega,Developer
Sega interActive,Sega,Developer
Sega Midwest Studio,Sega,Developer
Sega Rosso,Sega,Developer
Sega Sports R&D;,Sega,Developer
Sega Studios San Francisco,Sega,Developer
Sega Technical Institute,Sega,Developer
Sega Toys,Sega,Developer
Sony Interactive Studios America,Sony,Developer
Sony Marketing,Sony,Developer
Sony Music Entertainment,Sony,Developer
Sony Music Entertainment Incorporated,Sony,Developer
Sony Online Entertainment,Sony,Developer
Square USA,Square,Developer
Ubisoft,Ubisoft,Developer
Ubisoft Bulgaria,Ubisoft,Developer
Ubisoft Casablanca,Ubisoft,Developer
Ubisoft Milan,Ubisoft,Developer
Ubisoft Montpellier,Ubisoft,Developer
Ubisoft Montreal,Ubisoft,Developer
Ubisoft Nagoya,Ubisoft,Developer
Ubisoft Paris,Ubisoft,Developer
Ubisoft Porto Alegre,Ubisoft,Developer
Ubisoft Quebec,Ubisoft,Developer
Ubisoft Romania,Ubisoft,Developer
Ubisoft Sao Paulo,Ubisoft,Developer
Ubisoft Shanghai,Ubisoft,Developer
