softwareId,softwareName,softwareType,systemId
204,Pitfall - The Mayan Adventure,Game,3
205,Power Drive Rally,Game,3
206,Protector - Special Edition,Game,3
207,Raiden,Game,3
208,Rayman,Game,3
209,Ruiner Pinball,Game,3
210,Sensible Soccer - International Edition,Game,3
211,Skyhammer,Game,3
212,Soccer Kid,Game,3
213,Space War 2000,Game,3
214,Super Burnout,Game,3
215,SuperCross 3D,Game,3
216,Syndicate,Game,3
217,Tempest 2000,Game,3
218,Theme Park,Game,3
219,Total Carnage,Game,3
220,Towers II,Game,3
221,Trevor McFur in the Crescent Galaxy,Game,3
222,Troy Aikman NFL Football,Game,3
223,Ultra Vortek,Game,3
224,Val d'Isere Skiing and Snowboarding,Game,3
225,White Men Can't Jump,Game,3
226,Wolfenstein 3D,Game,3
227,Worms,Game,3
228,Zero 5,Game,3
229,Zool 2,Game,3
230,Zoop!,Game,3
231,Atari Lynx,BIOS,4
232,A.P.B. - All Points Bulletin,Game,4
233,Alien vs Predator,Game,4
234,Awesome Golf,Game,4
235,Baseball Heroes,Game,4
236,Basketbrawl,Game,4
237,Batman Returns,Game,4
238,Battle Wheels,Game,4
239,Battlezone 2000,Game,4
240,Bill & Ted's Excellent Adventure,Game,4
241,Block Out,Game,4
242,Blue Lightning,Game,4
243,Bubble Trouble,Game,4
244,California Games,Game,4
245,Centipede,Game,4
246,Checkered Flag,Game,4
247,Chip's Challenge,Game,4
248,Crystal Mines II,Game,4
249,Daemonsgate,Game,4
250,Desert Strike - Return to the Gulf,Game,4
251,Dinolympics,Game,4
252,Dirty Larry - Renegade Cop,Game,4
253,Double Dragon,Game,4
254,Dracula the Undead,Game,4
255,Electrocop,Game,4
256,European Soccer Challenge,Game,4
257,Eye of the Beholder,Game,4
258,Fat Bobby,Game,4
259,"Fidelity Ultimate Chess Challenge, The",Game,4
260,"Gates of Zendocon, The",Game,4
261,Gauntlet - The Third Encounter,Game,4
262,Gordo 106 - The Mutated Lab Monkey,Game,4
263,Hard Drivin',Game,4
264,Hockey,Game,4
265,Hydra,Game,4
266,Ishido - The Way of Stones,Game,4
267,Jimmy Connors' Tennis,Game,4
268,Joust,Game,4
269,Klax,Game,4
270,Krazy Ace - Miniature Golf,Game,4
271,Kung Food,Game,4
272,Lemmings,Game,4
273,Lexis,Game,4
274,Loopz,Game,4
275,Lynx Casino,Game,4
276,Lynx II Production Test Program V0.02,Game,4
277,Malibu Bikini Volleyball,Game,4
278,Marlboro Go!,Game,4
279,Ms. Pac-Man,Game,4
280,NFL Football,Game,4
281,Ninja Gaiden,Game,4
282,Ninja Gaiden III - The Ancient Ship of Doom,Game,4
283,Pac-Land,Game,4
284,Paperboy,Game,4
285,Pinball Jam,Game,4
286,Pit Fighter - The Ultimate Competition,Game,4
287,Power Factor,Game,4
288,QIX,Game,4
289,Raiden,Game,4
290,Rampage,Game,4
291,Rampart,Game,4
292,Road Riot 4WD,Game,4
293,RoadBlasters,Game,4
294,Robo-Squash,Game,4
295,Robotron 2084,Game,4
296,Rygar - Legendary Warrior,Game,4
297,S.T.U.N. Runner,Game,4
298,Scrapyard Dog,Game,4
299,Shadow of the Beast,Game,4
300,Shanghai,Game,4
301,Steel Talons,Game,4
302,"Super Asteroids, Missile Command",Game,4
303,Super Off-Road,Game,4
304,Super Skweek,Game,4
305,Switchblade II,Game,4
306,Todd's Adventures in Slime World,Game,4
307,Toki,Game,4
308,Tournament Cyberball,Game,4
309,Turbo Sub,Game,4
310,Viking Child,Game,4
311,Warbirds,Game,4
312,World Class Soccer,Game,4
313,Xenophobe,Game,4
314,Xybots,Game,4
315,Zarlor Mercenary,Game,4
